Dataset Size,Alpha,Iterations,Result
100,0.56,10000,1804.55
100,0.57,1000,1812.31
100,0.57,4000,1811.54
100,0.57,7000,1804.54
100,0.57,10000,1804.54
100,0.58,1000,1813.34
100,0.58,4000,1813.34
100,0.58,7000,1805.57
100,0.58,10000,1805.57
100,0.59,1000,1811.56
100,0.59,4000,1806.28
100,0.59,7000,1806.28
100,0.59,10000,1806.28
100,0.60,1000,1815.09
100,0.60,4000,1812.19
100,0.60,7000,1812.11
100,0.60,10000,1812.11
100,0.61,1000,1815.45
100,0.61,4000,1815.45
100,0.61,7000,1801.43
100,0.61,10000,1801.43
100,0.62,1000,1820.77
100,0.62,4000,1811.16
100,0.62,7000,1805.56
100,0.62,10000,1805.56
100,0.63,1000,1816.48
100,0.63,4000,1812.78
100,0.63,7000,1804.2
100,0.63,10000,1804.2
100,0.64,1000,1811.24
100,0.64,4000,1809.08
100,0.64,7000,1804.54
100,0.64,10000,1804.54
100,0.65,1000,1821.99
100,0.65,4000,1805.89
100,0.65,7000,1805.89
100,0.65,10000,1805.89
100,0.66,1000,1813.0
100,0.66,4000,1807.63
100,0.66,7000,1807.63
100,0.66,10000,1807.63
100,0.67,1000,1813.54
100,0.67,4000,1809.79
100,0.67,7000,1803.23
100,0.67,10000,1803.23
100,0.68,1000,1818.74
100,0.68,4000,1808.67
100,0.68,7000,1808.67
100,0.68,10000,1808.67
100,0.69,1000,1813.72
100,0.69,4000,1810.21
100,0.69,7000,1805.56
100,0.69,10000,1805.56
100,0.70,1000,1815.51
100,0.70,4000,1807.44
100,0.70,7000,1807.44
100,0.70,10000,1807.44
100,0.71,1000,1805.57
100,0.71,4000,1801.85
100,0.71,7000,1801.85
100,0.71,10000,1801.85
100,0.72,1000,1823.83
100,0.72,4000,1805.98
100,0.72,7000,1805.98
100,0.72,10000,1805.98
100,0.73,1000,1816.28
100,0.73,4000,1807.29
100,0.73,7000,1807.29
100,0.73,10000,1807.29
100,0.74,1000,1826.59
100,0.74,4000,1811.2
100,0.74,7000,1802.96
100,0.74,10000,1802.96
100,0.75,1000,1805.97
100,0.75,4000,1805.97
100,0.75,7000,1805.97
100,0.75,10000,1805.97
100,0.76,1000,1810.34
100,0.76,4000,1810.34
100,0.76,7000,1808.33
100,0.76,10000,1808.33
100,0.77,1000,1819.96
100,0.77,4000,1805.32
100,0.77,7000,1805.32
100,0.77,10000,1805.32
100,0.78,1000,1801.01
100,0.78,4000,1801.01
100,0.78,7000,1801.01
100,0.78,10000,1801.01
100,0.79,1000,1817.3
100,0.79,4000,1808.81
100,0.79,7000,1808.81
100,0.79,10000,1808.81
100,0.80,1000,1801.56
100,0.80,4000,1801.56
100,0.80,7000,1801.56
100,0.80,10000,1801.56
100,0.81,1000,1825.98
100,0.81,4000,1801.24
100,0.81,7000,1801.24
100,0.81,10000,1801.24
100,0.82,1000,1814.1
100,0.82,4000,1805.32
