Dataset Size,Mutation Rate,Population,Iterations,Result
100,0.10,250,7000,1925.33
100,0.10,250,10000,1920.15
100,0.11,50,1000,2288.59
100,0.11,50,4000,2048.49
100,0.11,50,7000,1960.08
100,0.11,50,10000,1960.08
100,0.11,100,1000,2272.52
100,0.11,100,4000,2062.07
100,0.11,100,7000,2062.07
100,0.11,100,10000,2003.14
100,0.11,150,1000,2194.84
100,0.11,150,4000,1940.29
100,0.11,150,7000,1925.01
100,0.11,150,10000,1925.01
100,0.11,200,1000,2038.71
100,0.11,200,4000,1886.87
100,0.11,200,7000,1886.87
100,0.11,200,10000,1882.99
100,0.11,250,1000,2121.45
100,0.11,250,4000,1933.23
100,0.11,250,7000,1897.25
100,0.11,250,10000,1884.97
100,0.12,50,1000,2317.2
100,0.12,50,4000,2172.36
100,0.12,50,7000,2172.36
100,0.12,50,10000,2172.36
100,0.12,100,1000,2184.31
100,0.12,100,4000,1996.16
100,0.12,100,7000,1965.16
100,0.12,100,10000,1958.28
100,0.12,150,1000,2139.12
100,0.12,150,4000,1922.91
100,0.12,150,7000,1922.84
100,0.12,150,10000,1892.33
100,0.12,200,1000,2113.68
100,0.12,200,4000,1931.06
100,0.12,200,7000,1896.55
100,0.12,200,10000,1896.55
100,0.12,250,1000,2063.45
100,0.12,250,4000,1862.89
100,0.12,250,7000,1862.89
100,0.12,250,10000,1862.89
100,0.13,50,1000,2454.2
100,0.13,50,4000,2055.64
100,0.13,50,7000,2035.95
100,0.13,50,10000,2035.95
100,0.13,100,1000,2211.85
100,0.13,100,4000,2098.54
100,0.13,100,7000,2097.11
100,0.13,100,10000,2097.11
100,0.13,150,1000,2033.54
100,0.13,150,4000,1982.0
100,0.13,150,7000,1980.95
100,0.13,150,10000,1960.54
100,0.13,200,1000,2042.39
100,0.13,200,4000,1914.1
100,0.13,200,7000,1891.15
100,0.13,200,10000,1877.53
100,0.13,250,1000,2002.1
100,0.13,250,4000,1880.19
100,0.13,250,7000,1877.08
100,0.13,250,10000,1877.08
100,0.14,50,1000,2457.39
100,0.14,50,4000,2302.31
100,0.14,50,7000,2292.17
100,0.14,50,10000,2275.84
100,0.14,100,1000,2208.88
100,0.14,100,4000,1974.76
100,0.14,100,7000,1968.01
100,0.14,100,10000,1964.83
