Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,30,0.10,1.00,0.40,13,150,4145.0
100,30,0.10,1.00,0.40,13,200,4107.0
100,30,0.10,1.00,0.50,1,50,4624.0
100,30,0.10,1.00,0.50,1,100,4312.0
100,30,0.10,1.00,0.50,1,150,4312.0
100,30,0.10,1.00,0.50,1,200,4253.0
100,30,0.10,1.00,0.50,3,50,4312.0
100,30,0.10,1.00,0.50,3,100,4312.0
100,30,0.10,1.00,0.50,3,150,4312.0
100,30,0.10,1.00,0.50,3,200,4187.0
100,30,0.10,1.00,0.50,5,50,4338.0
100,30,0.10,1.00,0.50,5,100,4338.0
100,30,0.10,1.00,0.50,5,150,4323.0
100,30,0.10,1.00,0.50,5,200,4292.0
100,30,0.10,1.00,0.50,7,50,4617.0
100,30,0.10,1.00,0.50,7,100,4347.0
100,30,0.10,1.00,0.50,7,150,4225.0
100,30,0.10,1.00,0.50,7,200,4225.0
100,30,0.10,1.00,0.50,9,50,4564.0
100,30,0.10,1.00,0.50,9,100,4305.0
100,30,0.10,1.00,0.50,9,150,4305.0
100,30,0.10,1.00,0.50,9,200,4298.0
100,30,0.10,1.00,0.50,11,50,4556.0
100,30,0.10,1.00,0.50,11,100,4327.0
100,30,0.10,1.00,0.50,11,150,4286.0
100,30,0.10,1.00,0.50,11,200,4251.0
100,30,0.10,1.00,0.50,13,50,4574.0
100,30,0.10,1.00,0.50,13,100,4411.0
100,30,0.10,1.00,0.50,13,150,4261.0
100,30,0.10,1.00,0.50,13,200,4261.0
100,30,0.10,1.00,0.60,1,50,4560.0
100,30,0.10,1.00,0.60,1,100,4560.0
100,30,0.10,1.00,0.60,1,150,4520.0
100,30,0.10,1.00,0.60,1,200,4499.0
100,30,0.10,1.00,0.60,3,50,4558.0
100,30,0.10,1.00,0.60,3,100,4558.0
100,30,0.10,1.00,0.60,3,150,4512.0
100,30,0.10,1.00,0.60,3,200,4341.0
100,30,0.10,1.00,0.60,5,50,4597.0
100,30,0.10,1.00,0.60,5,100,4536.0
100,30,0.10,1.00,0.60,5,150,4527.0
100,30,0.10,1.00,0.60,5,200,4442.0
100,30,0.10,1.00,0.60,7,50,4601.0
100,30,0.10,1.00,0.60,7,100,4514.0
100,30,0.10,1.00,0.60,7,150,4451.0
100,30,0.10,1.00,0.60,7,200,4451.0
100,30,0.10,1.00,0.60,9,50,4662.0
100,30,0.10,1.00,0.60,9,100,4529.0
100,30,0.10,1.00,0.60,9,150,4490.0
100,30,0.10,1.00,0.60,9,200,4481.0
100,30,0.10,1.00,0.60,11,50,4478.0
100,30,0.10,1.00,0.60,11,100,4478.0
100,30,0.10,1.00,0.60,11,150,4478.0
100,30,0.10,1.00,0.60,11,200,4478.0
100,30,0.10,1.00,0.60,13,50,4698.0
100,30,0.10,1.00,0.60,13,100,4672.0
100,30,0.10,1.00,0.60,13,150,4406.0
100,30,0.10,1.00,0.60,13,200,4406.0
100,30,0.10,1.00,0.70,1,50,4713.0
100,30,0.10,1.00,0.70,1,100,4480.0
100,30,0.10,1.00,0.70,1,150,4480.0
100,30,0.10,1.00,0.70,1,200,4480.0
100,30,0.10,1.00,0.70,3,50,4829.0
100,30,0.10,1.00,0.70,3,100,4530.0
100,30,0.10,1.00,0.70,3,150,4530.0
100,30,0.10,1.00,0.70,3,200,4530.0
100,30,0.10,1.00,0.70,5,50,4653.0
100,30,0.10,1.00,0.70,5,100,4619.0
100,30,0.10,1.00,0.70,5,150,4587.0
100,30,0.10,1.00,0.70,5,200,4587.0
100,30,0.10,1.00,0.70,7,50,4472.0
100,30,0.10,1.00,0.70,7,100,4472.0
100,30,0.10,1.00,0.70,7,150,4356.0
100,30,0.10,1.00,0.70,7,200,4356.0
100,30,0.10,1.00,0.70,9,50,4698.0
100,30,0.10,1.00,0.70,9,100,4551.0
100,30,0.10,1.00,0.70,9,150,4429.0
100,30,0.10,1.00,0.70,9,200,4429.0
100,30,0.10,1.00,0.70,11,50,4766.0
100,30,0.10,1.00,0.70,11,100,4633.0
100,30,0.10,1.00,0.70,11,150,4514.0
100,30,0.10,1.00,0.70,11,200,4514.0
100,30,0.10,1.00,0.70,13,50,4714.0
