1,5170023.32,10.088
2,5165834.09,15.796
3,5158383.45,21.719
4,5155066.29,27.498
5,5146575.09,33.270
6,5146073.54,39.143
7,5138775.43,44.947
8,5124619.28,50.776
9,5124619.28,56.595
10,5124619.28,62.455
11,5117681.26,68.622
12,5113845.69,74.656
13,5113845.69,80.925
14,5107330.11,86.570
15,5100568.97,92.435
16,5100568.97,98.076
17,5100568.97,103.604
18,5100568.97,109.834
19,5094074.38,115.346
20,5092715.50,121.156
21,5092129.51,127.208
22,5087964.40,133.459
23,5086932.65,139.166
24,5074656.17,144.865
25,5074350.37,150.243
26,5074350.37,156.088
27,5074350.37,163.314
28,5074350.37,170.648
29,5069853.64,177.999
30,5064244.74,186.176
31,5063223.49,193.918
32,5054375.03,201.903
33,5046155.76,209.464
34,5042204.79,217.304
35,5042124.89,224.670
36,5042124.89,232.430
37,5024505.27,240.094
38,5024505.27,246.914
39,5024505.27,253.637
40,5024505.27,260.278
41,5020165.92,267.224
42,5020165.92,273.672
43,5020165.92,280.213
44,5014190.67,286.663
45,5014190.67,292.928
46,5008059.92,299.325
47,5004684.65,305.636
48,5002853.47,311.952
49,5001754.61,318.153
50,4999842.65,324.399
51,4994874.53,330.694
52,4994874.53,337.233
53,4988627.33,343.569
54,4982342.62,350.288
55,4982342.62,356.638
56,4982342.62,362.979
57,4980681.89,369.032
58,4976997.98,375.581
59,4975270.70,381.796
60,4970166.46,387.059
61,4970166.46,392.601
62,4967999.82,397.762
63,4967619.15,403.000
64,4963000.68,408.419
65,4962903.85,413.622
66,4958632.58,418.915
67,4958632.58,423.967
68,4952436.08,429.428
69,4952436.08,434.972
70,4949799.10,440.143
71,4946000.31,445.817
72,4942044.27,450.955
73,4940560.81,456.501
74,4937810.71,461.782
75,4934402.13,467.160
76,4933579.67,472.601
77,4928332.44,477.717
78,4925344.98,483.063
79,4922786.62,488.331
80,4920924.07,493.213
81,4916194.35,498.593
82,4915380.39,503.845
83,4900613.70,509.612
84,4900613.70,514.691
85,4900613.70,519.954
86,4900613.70,525.322
87,4900401.89,530.530
88,4900401.89,535.657
89,4899474.62,541.123
90,4894782.60,546.229
91,4891697.14,551.396
92,4891697.14,556.944
93,4887888.42,562.085
94,4887888.42,567.503
95,4887888.42,572.733
96,4885550.91,578.250
97,4883319.84,583.078
98,4877490.33,588.320
99,4877490.33,593.496
100,4877490.33,598.916
